Position,x,y,FF:FF:11:15:F5:9A,FF:FF:11:15:2D:C4,FF:FF:11:10:14:A0,Distance_B_Blu_FF_FF_11_10_14_A0,Distance_B_Verde_FF:FF:11:15:2D:C4,Distance_B_Nero_FF:FF:11:15:F5:9A
293.0,0.8,2.03,-75.0,-72.0,-64.0,2.182,2.466,1.401
294.0,0.8,2.13,-66.0,-71.0,-65.0,2.275,2.549,1.32
295.0,0.8,2.23,-63.0,-70.0,-61.0,2.369,2.633,1.242
296.0,0.8,2.33,-68.0,-68.0,-65.0,2.464,2.718,1.167
297.0,0.8,2.43,-65.0,-62.0,-63.0,2.558,2.804,1.097
298.0,0.8,2.53,-76.0,-70.0,-66.0,2.653,2.892,1.031
299.0,0.8,2.63,-60.0,-71.0,-64.0,2.749,2.979,0.971
300.0,0.8,2.73,-66.0,-69.0,-72.0,2.845,3.068,0.918
301.0,0.9,0.83,-71.0,-61.0,-59.0,1.224,1.542,2.516
302.0,0.9,0.93,-75.0,-73.0,-59.0,1.294,1.598,2.423
303.0,0.9,1.03,-74.0,-68.0,-58.0,1.368,1.659,2.331
304.0,0.9,1.13,-81.0,-69.0,-56.0,1.445,1.722,2.239
305.0,0.9,1.23,-67.0,-70.0,-59.0,1.524,1.79,2.148
306.0,0.9,1.33,-67.0,-70.0,-59.0,1.606,1.86,2.057
307.0,0.9,1.43,-67.0,-63.0,-61.0,1.69,1.933,1.968
308.0,0.9,1.53,-70.0,-67.0,-61.0,1.775,2.008,1.879
309.0,0.9,1.63,-63.0,-75.0,-65.0,1.862,2.085,1.792
310.0,0.9,1.73,-75.0,-69.0,-65.0,1.95,2.164,1.707
311.0,0.9,1.83,-71.0,-68.0,-61.0,2.039,2.245,1.622
312.0,0.9,1.93,-70.0,-62.0,-64.0,2.13,2.327,1.54
313.0,0.9,2.03,-72.0,-70.0,-61.0,2.221,2.411,1.46
314.0,0.9,2.13,-69.0,-66.0,-66.0,2.312,2.495,1.383
315.0,0.9,2.23,-62.0,-66.0,-62.0,2.405,2.581,1.309
316.0,0.9,2.33,-67.0,-71.0,-68.0,2.498,2.668,1.238
317.0,0.9,2.43,-62.0,-63.0,-64.0,2.591,2.756,1.172
318.0,0.9,2.53,-63.0,-68.0,-64.0,2.685,2.844,1.11
319.0,0.9,2.63,-66.0,-71.0,-66.0,2.78,2.934,1.055
320.0,0.9,2.73,-65.0,-74.0,-66.0,2.875,3.024,1.006
321.0,1.0,0.83,-70.0,-68.0,-58.0,1.3,1.459,2.554
322.0,1.0,0.93,-71.0,-71.0,-62.0,1.366,1.518,2.462
323.0,1.0,1.03,-80.0,-75.0,-61.0,1.436,1.581,2.371
324.0,1.0,1.13,-75.0,-67.0,-63.0,1.509,1.648,2.281
325.0,1.0,1.23,-72.0,-66.0,-59.0,1.585,1.718,2.191
326.0,1.0,1.33,-68.0,-68.0,-57.0,1.664,1.791,2.103
327.0,1.0,1.43,-76.0,-68.0,-64.0,1.745,1.867,2.016
328.0,1.0,1.53,-75.0,-73.0,-63.0,1.828,1.944,1.929
